Year,Stream,Reach,Date,Taxa Name,Species,Fish Length  Mm,Fish Mass G,Diptera Larvae,Diptera Pupae,Diptera Adult,Coleoptera,Crayfish,Ephemeroptera Nymph,Ephemeroptera Adult,Fish,Hemiptera,Hymenoptera,Odonata,Plecoptera Nymph,Plecoptera Adult,Snails,Terrestrial,Trichoptera Larvae,Trichoptera Pupae,Trichoptera Adult,Worms,Unknown
2000,TC,2,11/21/2000 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarki_clarki,129,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,TC,2,11/21/2000 12:00:00 AM,cutthroat.trout,Oncorhynchus_mykiss,150,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
2000,TC,2,11/21/2000 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,160,38.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2000,TC,2,11/21/2000 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,179,59.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,CR,2,10/04/2000 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,250,141.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
2001,CR,2,09/17/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,159,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,CR,6,09/18/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,79,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,RC,1,09/19/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,120,19.4,4,0,0,1,0,0,0,1,0,0,0,2,0,0,1,1,1,0,2,1
2001,RC,1,09/19/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,132,22.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,RC,1,09/19/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,138,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2001,RC,1,09/19/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,150,41,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,1
2001,RC,1,09/19/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,165,46,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0
2001,TC,1,09/20/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,105,12.4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
2001,TC,1,09/20/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,114,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2001,TC,1,09/20/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,159,43.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
2001,TC,2,09/21/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,149,30.3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0
2001,TC,2,09/21/2001 12:00:00 AM,cutthroat.trout,Oncorhynchus_clarkii_clarkii,298,314,4,0,2,1,0,3,15,0,0,0,0,2,0,0,1,4,4,0,3,0
2000,CR,8,10/02/2000 12:00:00 AM,trout.fry,Oncorhynchus,59,2.3,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2000,CR,2,10/04/2000 12:00:00 AM,trout.fry,Oncorhynchus,59,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,TC,2,11/21/2000 12:00:00 AM,trout.fry,Oncorhynchus,62,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,CR,8,10/02/2000 12:00:00 AM,trout.fry,Oncorhynchus,65,3.3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2000,TC,2,11/21/2000 12:00:00 AM,trout.fry,Oncorhynchus,65,2.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2000,CR,6,10/03/2000 12:00:00 AM,trout.fry,Oncorhynchus,66,3.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2000,CR,6,10/03/2000 12:00:00 AM,trout.fry,Oncorhynchus,68,3.4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
